Family_ICTV	host_ICTV	size_kb_ICTV	topology_ICTV	host_ICTV_simple
Huangdiviridae	predicted archaea	26.5-26.6	1 linear segment	archaea
Hydriviridae	soil (s)	1599.7-1599.8	1 circular segment	non-vertebrates
Hypoviridae	fungi, invertebrates	6.0-20.8	1 linear segment	non-vertebrates
Hytrosaviridae	invertebrates	124.2-190.1	1 circular segment	invertebrates
Iflaviridae	invertebrates	8.8-11.0	1 linear segment	invertebrates
Infernusviridae	archaea	31.6-31.7	1 linear segment	archaea
Inoviridae	bacteria	4.5-10.9	1 circular segment	bacteria
Inseviridae	invertebrates	5.3-6.6	1 linear segment	invertebrates
Intestiviridae	bacteria	88.3-99.2	1 segment	bacteria
Iridoviridae	invertebrates, vertebrates	102.6-288.9	1 linear segment	incl-vertebrates
Itzamnaviridae	archaea	25.5-48.9	1 segment	archaea
Jasonviridae	archaea	75.3-75.4	1 linear segment	archaea
Jeanschmidtviridae	bacteria	207.2-356.3	1 linear segment	bacteria
Kairosviridae	archaea	34.1-34.2	1 linear segment	archaea
Kanorauviridae	plants, invertebrates, vertebrates	1.7-4.0	1 circular segment	incl-vertebrates
Kidogoviridae	bacteria	3.4-3.7	1 circular segment	bacteria
Kirkoviridae	vertebrates	2.8-4.3	1 circular segment	vertebrates
Kitaviridae	plants, invertebrates	12.0-18.5	2-4 linear segments	non-vertebrates
Kleczkowskaviridae	bacteria	206.8-207.7	1 linear segment	bacteria
Kolmioviridae	vertebrates	1.5-1.8	1 circular segment	vertebrates
Konkoviridae	plants	8.7-10.7	4 linear segments	plants
Konodaiviridae	bacteria	56.8-57.7	1 linear segment	bacteria
Krittikaviridae	archaea	79.9-80.0	1 linear segment	archaea
Kruegerviridae	bacteria	84.5-87.6	1 linear segment	bacteria
Kunpengviridae	archaea	35.7-35.8	1 linear segment	archaea
Kyanoviridae	bacteria	144.3-252.5	1 linear segment	bacteria
Lakviridae	bacteria	476.0-548.0	1 linear segment	bacteria
Lebotiviridae	invertebrates	6.7-8.1	1 linear segment	invertebrates
Leishbuviridae	protists	6.9-10.4	3 linear segments	protists
Leisingerviridae	archaea	26.1-26.2	1 linear segment	archaea
Liberviridae	bacteria	8.8-8.9	1 circular segment	bacteria
