Family_ICTV	host_ICTV	size_kb_ICTV	topology_ICTV	host_ICTV_simple
Peribunyaviridae	invertebrates, vertebrates	10.6-17.7	3 linear segments	incl-vertebrates
Permutotetraviridae	invertebrates	5.6-5.7	1 linear segment	invertebrates
Pervagoviridae	bacteria	72.5-73.0	1 linear segment	bacteria
Pestiviridae	vertebrates, invertebrates, plants	11.2-24.1	1 linear segment	incl-vertebrates
Phasmaviridae	invertebrates	9.9-15.5	3 linear segments	invertebrates
Phenuiviridae	fungi, plants, invertebrates, vertebrates	7.7-25.2	2-8 linear segments	incl-vertebrates
Phlegiviridae	fungi	9.4-11.6	1 linear segment	fungi
Phycodnaviridae	protists	154.6-407.4	1 linear segment	protists
Phypoliviridae	protists	26.4-26.5	1 linear segment	protists
Piccoloviridae	bacteria	5.2-5.3	1 circular segment	bacteria
Pichoviridae	bacteria	4.1-5.0	1 circular segment	bacteria
Picobirnaviridae	bacteria	3.5-4.3	2 linear segments	bacteria
Picornaviridae	vertebrates	2.1-10.2	1 linear segment	vertebrates
Pieniviridae	bacteria	6.0-6.4	1 circular segment	bacteria
Pigerviridae	archaea	53.2-53.3	1 linear segment	archaea
Pikkuviridae	bacteria	5.5-7.0	1 circular segment	bacteria
Pistolviridae	vertebrates	5.8-6.7	1 linear segment	vertebrates
Pithoviridae	protists	460.0-683.3	1 circular segment	protists
Piticuviridae	bacteria	5.0-5.1	1 circular segment	bacteria
Pituviridae	bacteria	34.1-59.1	1 linear segment	bacteria
Plasmaviridae	bacteria	11.9-12.0	1 circular segment	bacteria
Plectroviridae	bacteria	4.4-8.3	1 circular segment	bacteria
Pleolipoviridae	archaea	7.0-17.0	1 circular segment, or 1 linear segment	archaea
Pneumoviridae	vertebrates	13.3-15.3	1 linear segment	vertebrates
Polycipiviridae	invertebrates	10.3-12.2	1 linear segment	invertebrates
Polydnaviriformidae	invertebrates	uncertain	uncertain	invertebrates
Polymycoviridae	fungi	7.4-12.3	4-8 linear segments	fungi
Polyomaviridae	vertebrates	3.9-7.4	1 circular segment	vertebrates
Pootjesviridae	bacteria	143.3-158.6	1 linear segment	bacteria
Portogloboviridae	archaea	20.2-20.5	1 circular segment	archaea
Pospiviroidae	plants	0.2-0.4	1 circular segment	plants
Potyliviridae	fungi	7.4-7.9	1 linearsegment	fungi
Potyviridae	plants	8.1-11.7	1-2 linear segments	plants
Poxviridae	invertebrates, vertebrates	127.8-359.9	1 linear segment	incl-vertebrates
Pseudototiviridae	protists, fungi, vertebrates	4.6-6.3	1 linear segment	incl-vertebrates
